school_name,dbn,num_testtakers,num_offered,pct_8th_graders_offered,pct_black_hispanic,SED Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency
P.S. 160 WALTER FRANCIS BISHOP,28Q160,,,,,342800010160.0,28.0,40.688016999999995,-73.799965,"109-59 INWOOD ST JAMAICA, NY 11435",JAMAICA,11435.0,"PK,0K,01,02,03,04,05,06",PK,06,No,0.672,"$57,366.77 ",4%,13%,55%,20%,75%,1%,92%,29%,93%,Approaching Target,91%,Meeting Target,93%,Meeting Target,86%,Meeting Target,85%,Meeting Target,96%,Exceeding Target,Approaching Target,2.34,2.43
P.S. 161 ARTHUR ASHE SCHOOL,28Q161,,,,,342800010161.0,28.0,40.690426,-73.821065,"101-33 124TH ST JAMAICA, NY 11419",JAMAICA,11419.0,"PK,0K,01,02,03,04,05,06",PK,06,No,0.5760000000000001,"$58,262.79 ",11%,62%,7%,18%,24%,2%,94%,16%,97%,Exceeding Target,93%,Exceeding Target,97%,Meeting Target,91%,Exceeding Target,83%,Approaching Target,95%,Exceeding Target,Approaching Target,2.86,2.98
P.S. 174 WILLIAM SIDNEY MOUNT,28Q174,,,,,342800010174.0,28.0,40.720572,-73.861471,"65-10 DIETERLE CRES REGO PARK, NY 11374",REGO PARK,11374.0,"PK,0K,01,02,03,04,05,06",PK,06,No,0.267,"$64,541.04 ",10%,35%,4%,25%,29%,33%,95%,12%,94%,Exceeding Target,81%,Approaching Target,91%,Meeting Target,71%,Approaching Target,83%,Approaching Target,80%,Approaching Target,Meeting Target,3.0,3.27
P.S. 175 THE LYNN GROSS DISCOVERY SCHOOL,28Q175,,,,,342800010175.0,28.0,40.731004999999996,-73.852189,"64-35 102ND ST REGO PARK, NY 11374",REGO PARK,11374.0,"0K,01,02,03,04,05",0K,05,No,0.391,"$54,694.74 ",8%,20%,1%,11%,13%,66%,95%,13%,92%,Meeting Target,92%,Meeting Target,91%,Meeting Target,81%,Meeting Target,88%,Meeting Target,95%,Exceeding Target,Meeting Target,2.78,3.08
P.S. 182 SAMANTHA SMITH,28Q182,,,,,342800010182.0,28.0,40.706506,-73.803188,"153-27 88TH AVE JAMAICA, NY 11432",JAMAICA,11432.0,"PK,0K,01,02,03",PK,03,No,0.725,"$42,817.79 ",34%,28%,14%,54%,68%,1%,93%,24%,87%,Meeting Target,86%,Exceeding Target,88%,Meeting Target,72%,Approaching Target,86%,Meeting Target,91%,Meeting Target,Approaching Target,2.33,2.39
P.S. 196 GRAND CENTRAL PARKWAY,28Q196,,,,,342800010196.0,28.0,40.722976,-73.837726,"71-25 113TH ST FOREST HILLS, NY 11375",FOREST HILLS,11375.0,"0K,01,02,03,04,05",0K,05,No,0.154,"$72,353.42 ",6%,38%,2%,13%,15%,40%,96%,5%,95%,Exceeding Target,94%,Exceeding Target,98%,Exceeding Target,87%,Exceeding Target,88%,Meeting Target,97%,Exceeding Target,Exceeding Target,3.39,3.74
P.S. 206 THE HORACE HARDING SCHOOL,28Q206,,,,,342800010206.0,28.0,40.734734,-73.86079699999999,"61-02 98TH ST REGO PARK, NY 11374",REGO PARK,11374.0,"PK,0K,01,02,03,04,05",PK,05,No,0.593,"$48,753.87 ",24%,18%,18%,30%,48%,31%,95%,14%,91%,Approaching Target,92%,Meeting Target,93%,Meeting Target,85%,Meeting Target,81%,Approaching Target,95%,Meeting Target,Meeting Target,2.47,2.62
P.S. 220 EDWARD MANDEL,28Q220,,,,,342800010220.0,28.0,40.7365,-73.851845,"62-10 108TH ST FOREST HILLS, NY 11375",FOREST HILLS,11375.0,"PK,0K,01,02,03,04,05",PK,05,No,0.545,"$50,697.33 ",16%,27%,9%,23%,31%,39%,95%,9%,94%,Meeting Target,93%,Exceeding Target,96%,Exceeding Target,84%,Meeting Target,85%,Meeting Target,93%,Meeting Target,Meeting Target,2.66,2.97
THE ACADEMY FOR EXCELLENCE THROUGH THE ARTS,28Q303,,,,,342800010303.0,28.0,40.725755,-73.844042,"108-55 69TH ST FOREST HILLS, NY 11375",FOREST HILLS,11375.0,"PK,0K,01,02,03",PK,03,No,0.13,"$69,328.45 ",1%,37%,4%,20%,23%,37%,97%,2%,93%,,85%,,96%,,78%,,88%,,88%,,,,
THE JERMAINE L. GREEN STEM INSTITUTE OF QUEENS,28Q354,,,,,342800010354.0,28.0,40.679787,-73.774018,"126-10 BEDELL ST JAMAICA, NY 11434",JAMAICA,11434.0,"PK,0K,01,02,03,04,05",PK,05,No,0.5870000000000001,"$56,318.26 ",3%,2%,90%,6%,96%,0%,93%,22%,92%,Exceeding Target,83%,Meeting Target,93%,Meeting Target,72%,Approaching Target,83%,Approaching Target,85%,Meeting Target,Approaching Target,2.28,2.43
P.S. 015 JACKIE ROBINSON,29Q015,,,,,342900010015.0,29.0,40.685998,-73.756807,"121-15 LUCAS ST SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413.0,"0K,01,02,03,04,05",0K,05,No,0.5429999999999999,"$70,218.35 ",2%,1%,94%,5%,99%,0%,94%,22%,96%,Meeting Target,88%,Meeting Target,90%,Meeting Target,85%,Meeting Target,89%,Meeting Target,91%,Meeting Target,Meeting Target,2.51,2.72
P.S. 033 EDWARD M. FUNK,29Q033,,,,,342900010033.0,29.0,40.727164,-73.73409000000001,"91-37 222ND ST QUEENS VILLAGE, NY 11428",QUEENS VILLAGE,11428.0,"0K,01,02,03,04,05",0K,05,No,0.509,"$72,362.29 ",15%,46%,17%,26%,43%,4%,94%,16%,95%,Meeting Target,94%,Meeting Target,97%,Meeting Target,90%,Exceeding Target,85%,Meeting Target,97%,Exceeding Target,Approaching Target,2.66,2.69
P.S. 034 JOHN HARVARD,29Q034,,,,,342900010034.0,29.0,40.71089,-73.737967,"104-12 SPRINGFIELD BLVD QUEENS VILLAGE, NY 11428",QUEENS VILLAGE,11428.0,"PK,0K,01,02,03,04,05",PK,05,No,0.536,"$67,332.79 ",10%,8%,74%,16%,89%,1%,94%,16%,94%,Exceeding Target,85%,Meeting Target,93%,Meeting Target,79%,Meeting Target,81%,Approaching Target,86%,Approaching Target,Meeting Target,2.52,2.65
P.S. 035 NATHANIEL WOODHULL,29Q035,,,,,342900010035.0,29.0,40.713433,-73.76888100000001,"191-02 90TH AVE HOLLIS, NY 11423",HOLLIS,11423.0,"PK,0K,01,02,03,04,05",PK,05,No,0.625,"$54,675.97 ",14%,24%,35%,29%,64%,4%,93%,24%,95%,Meeting Target,90%,Meeting Target,96%,Meeting Target,77%,Meeting Target,85%,Meeting Target,90%,Meeting Target,Meeting Target,2.44,2.71
P.S. 036 SAINT ALBANS SCHOOL,29Q036,,,,,342900010036.0,29.0,40.690773,-73.763989,"187-01 FOCH BLVD SAINT ALBANS, NY 11412",SAINT ALBANS,11412.0,"0K,01,02,03,04,05",0K,05,No,0.614,"$68,913.36 ",3%,0%,88%,9%,97%,0%,93%,25%,94%,Meeting Target,89%,Meeting Target,91%,Meeting Target,75%,Approaching Target,85%,Meeting Target,87%,Meeting Target,Meeting Target,2.48,2.51
CYNTHIA JENKINS SCHOOL,29Q037,,,,,342900010037.0,29.0,40.676251,-73.758597,"179-37 137TH AVE JAMAICA, NY 11434",JAMAICA,11434.0,"PK,0K,01,02,03,04,05",PK,05,No,0.647,"$68,856.71 ",3%,2%,90%,7%,97%,0%,93%,21%,90%,Exceeding Target,87%,Exceeding Target,85%,Meeting Target,79%,Meeting Target,86%,Meeting Target,91%,Meeting Target,Approaching Target,2.52,2.46
P.S. 038 ROSEDALE,29Q038,,,,,342900010038.0,29.0,40.671631,-73.733976,"135-21 241ST ST ROSEDALE, NY 11422",ROSEDALE,11422.0,"0K,01,02,03,04,05",0K,05,No,0.46,"$83,898.38 ",2%,1%,89%,6%,96%,2%,94%,17%,88%,Approaching Target,89%,Meeting Target,86%,Meeting Target,89%,Exceeding Target,90%,Meeting Target,92%,Meeting Target,Meeting Target,2.45,2.59
P.S. 052 QUEENS,29Q052,,,,,342900010052.0,29.0,40.661251,-73.76692299999999,"178-37 146TH TERRACE JAMAICA, NY 11434",JAMAICA,11434.0,"PK,0K,01,02,03,04,05",PK,05,No,0.691,"$69,850.51 ",5%,1%,86%,10%,96%,1%,91%,33%,93%,Meeting Target,90%,Meeting Target,87%,Approaching Target,83%,Meeting Target,87%,Meeting Target,91%,Meeting Target,Meeting Target,2.44,2.36
P.S. 095 EASTWOOD,29Q095,,,,,342900010095.0,29.0,40.710718,-73.783055,"179-01 90TH AVE JAMAICA, NY 11432",JAMAICA,11432.0,"0K,01,02,03,04,05",0K,05,No,0.721,"$41,507.09 ",24%,39%,11%,43%,54%,2%,93%,23%,95%,Exceeding Target,92%,Exceeding Target,96%,Meeting Target,87%,Exceeding Target,87%,Meeting Target,96%,Exceeding Target,Exceeding Target,2.77,2.81
P.S. 118 LORRAINE HANSBERRY,29Q118,,,,,342900010118.0,29.0,40.703441999999995,-73.765375,"190-20 109TH RD HOLLIS, NY 11423",HOLLIS,11423.0,"PK,0K,01,02,03,04,05",PK,05,No,0.616,"$62,747.35 ",4%,3%,82%,12%,94%,0%,92%,27%,94%,Meeting Target,87%,Meeting Target,93%,Meeting Target,64%,Not Meeting Target,83%,Approaching Target,84%,Approaching Target,Approaching Target,2.39,2.47
P.S. 131 ABIGAIL ADAMS,29Q131,,,,,342900010131.0,29.0,40.716997,-73.793918,"170-45 84TH AVE JAMAICA, NY 11432",JAMAICA,11432.0,"0K,01,02,03,04,05,SE",0K,05,No,0.5720000000000001,"$60,211.00 ",21%,74%,8%,12%,20%,4%,95%,10%,89%,Exceeding Target,91%,Exceeding Target,96%,Exceeding Target,85%,Meeting Target,81%,Approaching Target,96%,Exceeding Target,Exceeding Target,2.99,3.34
P.S. 132 RALPH BUNCHE,29Q132,,,,,342900010132.0,29.0,40.681992,-73.749505,"132-15 218TH ST SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413.0,"PK,0K,01,02,03,04,05",PK,05,No,0.639,"$77,296.87 ",0%,1%,93%,4%,97%,1%,94%,16%,93%,Meeting Target,96%,Meeting Target,94%,Meeting Target,89%,Exceeding Target,88%,Meeting Target,95%,Exceeding Target,Meeting Target,2.57,2.84
P.S. 134 HOLLIS,29Q134,,,,,342900010134.0,29.0,40.70796,-73.755348,"203-02 109TH AVE HOLLIS, NY 11423",HOLLIS,11423.0,"PK,0K,01,02,03,04,05",PK,05,No,0.5660000000000001,"$69,948.92 ",10%,3%,86%,9%,95%,1%,92%,32%,86%,Meeting Target,78%,Approaching Target,79%,Approaching Target,73%,Approaching Target,85%,Meeting Target,84%,Approaching Target,Meeting Target,2.4,2.32
THE BELLAIRE SCHOOL,29Q135,,,,,342900010135.0,29.0,40.72012,-73.757425,"207-11 89TH AVE QUEENS VILLAGE, NY 11427",QUEENS VILLAGE,11427.0,"0K,01,02,03,04,05",0K,05,No,0.514,"$63,555.49 ",11%,37%,29%,19%,49%,3%,94%,17%,81%,Approaching Target,69%,Approaching Target,81%,Approaching Target,55%,Not Meeting Target,79%,Approaching Target,79%,Approaching Target,Meeting Target,2.7,2.71
P.S. 136 ROY WILKINS,29Q136,,,,,342900010136.0,29.0,40.698935999999996,-73.752691,"201-15 115TH AVE SAINT ALBANS, NY 11412",SAINT ALBANS,11412.0,"PK,0K,01,02,03,04,05",PK,05,No,0.589,"$71,061.93 ",3%,1%,90%,6%,96%,1%,94%,21%,94%,Meeting Target,84%,Meeting Target,92%,Meeting Target,77%,Meeting Target,83%,Approaching Target,84%,Approaching Target,Meeting Target,2.47,2.34
P.S. 156 LAURELTON,29Q156,,,,,342900010156.0,29.0,40.672087,-73.743438,"229-02 137TH AVE SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413.0,"0K,01,02,03,04,05",0K,05,No,0.57,"$77,635.55 ",4%,2%,90%,6%,97%,0%,91%,32%,91%,Meeting Target,92%,Meeting Target,82%,Approaching Target,81%,Meeting Target,82%,Approaching Target,89%,Meeting Target,Approaching Target,2.37,2.26
P.S. 176 CAMBRIA HEIGHTS,29Q176,,,,,342900010176.0,29.0,40.684870000000004,-73.729678,"120-45 235TH ST CAMBRIA HEIGHTS, NY 11411",CAMBRIA HEIGHTS,11411.0,"PK,0K,01,02,03,04,05",PK,05,No,0.38,"$83,684.63 ",1%,5%,81%,3%,85%,0%,96%,9%,96%,Exceeding Target,94%,Meeting Target,94%,Meeting Target,86%,Exceeding Target,87%,Meeting Target,94%,Meeting Target,Meeting Target,3.0,2.93
P.S. 181 BROOKFIELD,29Q181,,,,,342900010181.0,29.0,40.656203000000005,-73.753128,"148-15 230TH ST SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413.0,"PK,0K,01,02,03,04,05",PK,05,No,0.5429999999999999,"$76,522.02 ",3%,2%,86%,8%,94%,1%,93%,25%,84%,Meeting Target,84%,Meeting Target,89%,Meeting Target,82%,Meeting Target,86%,Meeting Target,93%,Meeting Target,Approaching Target,2.43,2.42
P.S. 195 WILLIAM HABERLE,29Q195,,,,,342900010195.0,29.0,40.652625,-73.73520500000001,"253-50 149TH AVE ROSEDALE, NY 11422",ROSEDALE,11422.0,"PK,0K,01,02,03,04,05",PK,05,No,0.515,"$77,343.97 ",2%,1%,92%,5%,97%,1%,94%,19%,93%,Meeting Target,94%,Meeting Target,93%,Meeting Target,91%,Exceeding Target,97%,Exceeding Target,95%,Exceeding Target,Approaching Target,2.39,2.22
P.S. 251 QUEENS,29Q251,,,,,342900010251.0,29.0,40.665341,-73.759335,"144-51 ARTHUR ST SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413.0,"0K,01,02,03",0K,03,No,0.5720000000000001,"$71,741.52 ",0%,2%,92%,3%,95%,1%,95%,10%,88%,,88%,,95%,,77%,,86%,,91%,,,,
P.S. 002 ALFRED ZIMBERG,30Q002,,,,,343000010002.0,30.0,40.7697,-73.89414000000001,"75-10 21ST AVE JACKSON HEIGHTS, NY 11372",JACKSON HEIGHTS,11372.0,"0K,01,02,03,04,05",0K,05,No,0.47100000000000003,"$60,134.47 ",16%,21%,2%,37%,39%,39%,94%,16%,99%,Exceeding Target,95%,Meeting Target,98%,Meeting Target,88%,Meeting Target,84%,Meeting Target,93%,Meeting Target,Meeting Target,2.79,3.04
P.S. 011 KATHRYN PHELAN,30Q011,,,,,343000010011.0,30.0,40.745517,-73.909077,"54-25 SKILLMAN AVE WOODSIDE, NY 11377",WOODSIDE,11377.0,"0K,01,02,03,04,05,06",0K,06,No,0.5670000000000001,"$51,298.30 ",25%,38%,2%,50%,51%,9%,95%,12%,91%,Meeting Target,90%,Exceeding Target,92%,Exceeding Target,85%,Meeting Target,85%,Meeting Target,94%,Exceeding Target,Exceeding Target,2.76,2.95
P.S. 017 HENRY DAVID THOREAU,30Q017,,,,,343000010017.0,30.0,40.768259,-73.922754,"28-37 29TH ST LONG ISLAND CITY, NY 11102",LONG ISLAND CITY,11102.0,"PK,0K,01,02,03,04,05",PK,05,No,0.6990000000000001,"$46,465.49 ",23%,19%,12%,55%,67%,13%,94%,20%,91%,Approaching Target,90%,Meeting Target,90%,Meeting Target,78%,Meeting Target,88%,Meeting Target,95%,Exceeding Target,Approaching Target,2.36,2.51
P.S. 069 JACKSON HEIGHTS,30Q069,,,,,343000010069.0,30.0,40.748799,-73.888464,"77-02 37TH AVE JACKSON HEIGHTS, NY 11372",JACKSON HEIGHTS,11372.0,"PK,0K,01,02,03,04,05",PK,05,No,0.637,"$48,032.50 ",17%,50%,0%,40%,41%,8%,97%,7%,91%,Approaching Target,90%,Approaching Target,94%,Meeting Target,80%,Meeting Target,85%,Meeting Target,94%,Exceeding Target,Meeting Target,2.88,3.07
P.S. 070,30Q070,,,,,343000010070.0,30.0,40.761734000000004,-73.913973,"30-45 42ND ST LONG ISLAND CITY, NY 11103",LONG ISLAND CITY,11103.0,"PK,0K,01,02,03,04,05",PK,05,No,0.578,"$58,639.79 ",20%,18%,2%,43%,45%,35%,95%,13%,88%,Meeting Target,76%,Meeting Target,90%,Meeting Target,62%,Not Meeting Target,78%,Approaching Target,78%,Approaching Target,Meeting Target,2.72,2.91
P.S. 076 WILLIAM HALLET,30Q076,,,,,343000010076.0,30.0,40.760847999999996,-73.941632,"36-36 10TH ST LONG ISLAND CITY, NY 11106",LONG ISLAND CITY,11106.0,"PK,0K,01,02,03,04,05",PK,05,No,0.7659999999999999,"$33,120.79 ",12%,9%,31%,47%,77%,11%,93%,26%,82%,Approaching Target,82%,Meeting Target,86%,Approaching Target,75%,Approaching Target,76%,Not Meeting Target,83%,Approaching Target,Meeting Target,2.23,2.44
P.S. 084 STEINWAY,30Q084,,,,,343000010084.0,30.0,40.771182,-73.90610799999999,"22-45 41ST ST ASTORIA, NY 11105",ASTORIA,11105.0,"0K,01,02,03,04,05",0K,05,No,0.568,"$58,081.89 ",11%,9%,7%,39%,46%,43%,94%,17%,95%,Meeting Target,89%,Meeting Target,89%,Meeting Target,83%,Meeting Target,84%,Meeting Target,92%,Meeting Target,Approaching Target,2.58,2.72
P.S. 085 JUDGE CHARLES VALLONE,30Q085,,,,,343000010085.0,30.0,40.773009,-73.914843,"23-70 31ST ST LONG ISLAND CITY, NY 11105",LONG ISLAND CITY,11105.0,"PK,0K,01,02,03,04,05",PK,05,No,0.48100000000000004,"$59,442.38 ",9%,18%,4%,31%,35%,43%,94%,19%,97%,Meeting Target,87%,Meeting Target,95%,Meeting Target,70%,Approaching Target,84%,Meeting Target,83%,Approaching Target,Exceeding Target,3.11,3.35
P.S. 092 HARRY T. STEWART SR.,30Q092,,,,,343000010092.0,30.0,40.755511,-73.86867600000001,"99-01 34TH AVE CORONA, NY 11368",CORONA,11368.0,"PK,0K,01,02,03,04,05",PK,05,No,0.789,"$44,258.79 ",33%,1%,2%,96%,98%,0%,96%,6%,90%,Meeting Target,90%,Approaching Target,91%,Meeting Target,79%,Meeting Target,83%,Approaching Target,96%,Exceeding Target,Meeting Target,2.18,2.37
P.S. 111 JACOB BLACKWELL,30Q111,,,,,343000010111.0,30.0,40.75855,-73.939237,"37-15 13TH ST LONG ISLAND CITY, NY 11101",LONG ISLAND CITY,11101.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,Yes,0.847,"$26,289.11 ",19%,4%,41%,48%,89%,6%,89%,45%,87%,Approaching Target,84%,Approaching Target,84%,Approaching Target,76%,Approaching Target,78%,Approaching Target,83%,Approaching Target,Approaching Target,2.06,2.03
P.S. 112 DUTCH KILLS,30Q112,,,,,343000010112.0,30.0,40.757217,-73.933922,"25-05 37TH AVE LONG ISLAND CITY, NY 11101",LONG ISLAND CITY,11101.0,"0K,01,02,03,04,05",0K,05,No,0.82,"$40,496.40 ",15%,28%,20%,43%,64%,7%,94%,20%,93%,Meeting Target,91%,Exceeding Target,93%,Meeting Target,82%,Meeting Target,86%,Meeting Target,93%,Meeting Target,Meeting Target,2.39,2.62
P.S. 148 QUEENS,30Q148,,,,,343000010148.0,30.0,40.758364,-73.879173,"89-02 32ND AVE EAST ELMHURST, NY 11369",EAST ELMHURST,11369.0,"PK,0K,01,02,03,04,05",PK,05,No,0.662,"$55,507.16 ",29%,14%,0%,83%,83%,3%,95%,11%,76%,Not Meeting Target,60%,Approaching Target,82%,Meeting Target,39%,Not Meeting Target,78%,Approaching Target,71%,Approaching Target,Meeting Target,2.49,2.71
P.S. 149 CHRISTA MCAULIFFE,30Q149,,,,,343000010149.0,30.0,40.755297,-73.874426,"93-11 34TH AVE JACKSON HEIGHTS, NY 11372",JACKSON HEIGHTS,11372.0,"0K,01,02,03,04,05",0K,05,No,0.735,"$44,509.00 ",31%,8%,1%,87%,88%,3%,96%,11%,89%,Meeting Target,92%,Exceeding Target,93%,Exceeding Target,86%,Meeting Target,82%,Meeting Target,94%,Exceeding Target,Meeting Target,2.49,2.84
P.S. 150 QUEENS,30Q150,,,,,343000010150.0,30.0,40.745746999999994,-73.92331999999999,"40-01 43RD AVE LONG ISLAND CITY, NY 11104",LONG ISLAND CITY,11104.0,"PK,0K,01,02,03,04,05,06",PK,06,No,0.512,"$54,911.92 ",13%,28%,1%,47%,48%,22%,95%,10%,94%,Exceeding Target,81%,Meeting Target,93%,Exceeding Target,64%,Not Meeting Target,81%,Approaching Target,84%,Approaching Target,Exceeding Target,2.89,3.27
P.S. 151 MARY D. CARTER,30Q151,,,,,343000010151.0,30.0,40.757671,-73.90836800000001,"50-05 31ST AVE WOODSIDE, NY 11377",WOODSIDE,11377.0,"PK,0K,01,02,03,04,05",PK,05,No,0.7709999999999999,"$43,163.68 ",11%,17%,22%,51%,73%,7%,93%,30%,90%,Approaching Target,94%,Meeting Target,91%,Meeting Target,87%,Meeting Target,84%,Meeting Target,93%,Meeting Target,Meeting Target,2.28,2.44
P.S. 152 GWENDOLINE N. ALLEYNE SCHOOL,30Q152,,,,,343000010152.0,30.0,40.753093,-73.90053,"33-52 62ND ST WOODSIDE, NY 11377",WOODSIDE,11377.0,"PK,0K,01,02,03,04,05,06",PK,06,No,0.693,"$47,329.35 ",30%,50%,1%,44%,45%,4%,97%,5%,91%,Meeting Target,86%,Exceeding Target,94%,Exceeding Target,74%,Approaching Target,79%,Approaching Target,91%,Meeting Target,Meeting Target,2.75,3.04
P.S. 166 HENRY GRADSTEIN,30Q166,,,,,343000010166.0,30.0,40.757498999999996,-73.926238,"33-09 35TH AVE LONG ISLAND CITY, NY 11106",LONG ISLAND CITY,11106.0,"PK,0K,01,02,03,04,05",PK,05,No,0.609,"$52,935.98 ",17%,29%,5%,44%,50%,20%,95%,11%,91%,Meeting Target,90%,Exceeding Target,94%,Exceeding Target,83%,Meeting Target,83%,Approaching Target,90%,Meeting Target,Exceeding Target,2.84,3.08
P.S. 171 PETER G. VAN ALST,30Q171,,,,,343000010171.0,30.0,40.771097999999995,-73.929462,"14-14 29TH AVE LONG ISLAND CITY, NY 11102",LONG ISLAND CITY,11102.0,"PK,0K,01,02,03,04,05",PK,05,No,0.754,"$38,600.97 ",19%,20%,27%,49%,75%,4%,92%,30%,93%,Meeting Target,92%,Exceeding Target,92%,Meeting Target,80%,Meeting Target,81%,Approaching Target,93%,Meeting Target,Approaching Target,2.21,2.45
P.S. 212,30Q212,,,,,343000010212.0,30.0,40.753190999999994,-73.8849,"34-25 82ND ST JACKSON HEIGHTS, NY 11372",JACKSON HEIGHTS,11372.0,"0K,01,02,03,04,05",0K,05,No,0.627,"$51,243.16 ",14%,26%,1%,61%,62%,11%,95%,12%,96%,Exceeding Target,95%,Exceeding Target,95%,Exceeding Target,88%,Meeting Target,85%,Meeting Target,95%,Exceeding Target,Meeting Target,2.64,2.94
P.S. 234,30Q234,,,,,343000010234.0,30.0,40.766925,-73.92305400000001,"30-15 29TH ST ASTORIA, NY 11102",ASTORIA,11102.0,"PK,0K,01,02,03,04,05",PK,05,No,0.672,"$54,400.60 ",22%,24%,5%,38%,44%,31%,95%,11%,93%,Meeting Target,87%,Meeting Target,95%,Meeting Target,82%,Meeting Target,83%,Approaching Target,89%,Meeting Target,Approaching Target,2.62,2.73
P.S. 280,30Q280,,,,,343000010280.0,30.0,40.753821,-73.873937,"34-20 94TH ST JACKSON HEIGHTS, NY 11372",JACKSON HEIGHTS,11372.0,"0K,01,02,03,04,05",0K,05,No,0.7659999999999999,"$42,962.15 ",39%,7%,1%,91%,91%,1%,96%,11%,86%,Meeting Target,90%,Meeting Target,93%,Exceeding Target,79%,Meeting Target,86%,Meeting Target,95%,Exceeding Target,,2.28,2.57
P.S. 001 TOTTENVILLE,31R001,,,,,353100010001.0,31.0,40.508835,-74.244025,"58 SUMMIT ST STATEN ISLAND, NY 10307",STATEN ISLAND,10307.0,"PK,0K,01,02,03,04,05",PK,05,No,0.298,"$71,278.87 ",5%,1%,2%,16%,18%,80%,94%,18%,96%,Exceeding Target,91%,Exceeding Target,97%,Meeting Target,81%,Meeting Target,87%,Meeting Target,92%,Meeting Target,Meeting Target,2.85,2.81
P.S. 003 THE MARGARET GIOIOSA SCHOOL,31R003,,,,,353100010003.0,31.0,40.520825,-74.211845,"80 S GOFF AVE STATEN ISLAND, NY 10309",STATEN ISLAND,10309.0,"PK,0K,01,02,03,04,05",PK,05,No,0.19399999999999998,"$89,390.74 ",2%,5%,0%,12%,12%,82%,95%,11%,87%,Approaching Target,72%,Not Meeting Target,90%,Approaching Target,51%,Not Meeting Target,83%,Approaching Target,71%,Not Meeting Target,Approaching Target,2.84,3.15
P.S. 004 MAURICE WOLLIN,31R004,,,,,353100010004.0,31.0,40.552372999999996,-74.195516,"200 NEDRA LANE STATEN ISLAND, NY 10312",STATEN ISLAND,10312.0,"PK,0K,01,02,03,04,05",PK,05,No,0.292,"$91,880.61 ",3%,5%,2%,18%,21%,72%,94%,14%,95%,Meeting Target,96%,Meeting Target,98%,Meeting Target,90%,Exceeding Target,84%,Meeting Target,96%,Exceeding Target,Meeting Target,2.78,2.86
P.S. 005 HUGUENOT,31R005,,,,,353100010005.0,31.0,40.529697,-74.18753199999999,"348 DEISIUS ST STATEN ISLAND, NY 10312",STATEN ISLAND,10312.0,"0K,01,02,03,04,05",0K,05,No,0.158,"$95,538.26 ",0%,1%,0%,7%,7%,91%,96%,5%,100%,Exceeding Target,99%,Exceeding Target,100%,Exceeding Target,96%,Exceeding Target,90%,Exceeding Target,96%,Exceeding Target,Exceeding Target,3.2,3.35
P.S. 6 CORPORAL ALLAN F. KIVLEHAN SCHOOL,31R006,,,,,353100010006.0,31.0,40.510274,-74.230429,"555 PAGE AVE STATEN ISLAND, NY 10307",STATEN ISLAND,10307.0,"PK,0K,01,02,03,04,05",PK,05,No,0.239,"$82,498.64 ",3%,3%,0%,12%,12%,83%,95%,12%,90%,Meeting Target,88%,Exceeding Target,96%,Exceeding Target,69%,Approaching Target,84%,Meeting Target,81%,Approaching Target,Approaching Target,2.52,2.88
P.S. 8 SHIRLEE SOLOMON,31R008,,,,,353100010008.0,31.0,40.547645,-74.151951,"112 LINDENWOOD RD STATEN ISLAND, NY 10308",STATEN ISLAND,10308.0,"PK,0K,01,02,03,04,05",PK,05,No,0.273,"$85,181.84 ",2%,6%,2%,13%,15%,78%,95%,11%,97%,Meeting Target,97%,Exceeding Target,95%,Exceeding Target,87%,Exceeding Target,87%,Meeting Target,97%,Exceeding Target,Meeting Target,2.9,3.1
P.S. 11 THOMAS DONGAN SCHOOL,31R011,,,,,353100010011.0,31.0,40.590709000000004,-74.097904,"50 JEFFERSON ST STATEN ISLAND, NY 10304",STATEN ISLAND,10304.0,"PK,0K,01,02,03,04,05",PK,05,No,0.5670000000000001,"$61,018.91 ",11%,8%,16%,40%,56%,35%,94%,19%,93%,Meeting Target,86%,Exceeding Target,85%,Meeting Target,77%,Meeting Target,88%,Meeting Target,87%,Meeting Target,Meeting Target,2.52,2.63
P.S. 013 M. L. LINDEMEYER,31R013,,,,,353100010013.0,31.0,40.613146,-74.06915,"191 VERMONT AVE STATEN ISLAND, NY 10305",STATEN ISLAND,10305.0,"PK,0K,01,02,03,04,05",PK,05,No,0.639,"$62,621.47 ",13%,15%,16%,44%,60%,22%,94%,20%,94%,Meeting Target,93%,Exceeding Target,95%,Meeting Target,85%,Meeting Target,88%,Meeting Target,94%,Exceeding Target,Meeting Target,2.48,2.76
